"tab_code","表章項目","cat01_code","男女別","cat02_code","人口","area_code","全国・都道府県","time_code","時間軸（年）","unit","value"
"001","人口","000","男女計","001","総人口","00000","全国","1990000000","1990年","千人","123611"
"001","人口","000","男女計","001","総人口","00000","全国","1995000000","1995年","千人","125570"
"001","人口","000","男女計","001","総人口","00000","全国","2000000000","2000年","千人","126926"
"001","人口","000","男女計","001","総人口","00000","全国","2005000000","2005年","千人","127768"
"001","人口","000","男女計","001","総人口","00000","全国","2006000000","2006年","千人","127770"
"001","人口","000","男女計","001","総人口","00000","全国","2007000000","2007年","千人","127771"
"001","人口","000","男女計","001","総人口","00000","全国","2008000000","2008年","千人","127692"
"001","人口","000","男女計","001","総人口","00000","全国","2009000000","2009年","千人","127510"
"001","人口","000","男女計","001","総人口","01000","北海道","1990000000","1990年","千人","5644"
"001","人口","000","男女計","001","総人口","01000","北海道","1995000000","1995年","千人","5692"
"001","人口","000","男女計","001","総人口","01000","北海道","2000000000","2000年","千人","5683"
"001","人口","000","男女計","001","総人口","01000","北海道","2005000000","2005年","千人","5628"
"001","人口","000","男女計","001","総人口","01000","北海道","2006000000","2006年","千人","5601"
"001","人口","000","男女計","001","総人口","01000","北海道","2007000000","2007年","千人","5570"
"001","人口","000","男女計","001","総人口","01000","北海道","2008000000","2008年","千人","5535"
"001","人口","000","男女計","001","総人口","01000","北海道","2009000000","2009年","千人","5507"
"001","人口","000","男女計","001","総人口","02000","青森県","1990000000","1990年","千人","1483"
"001","人口","000","男女計","001","総人口","02000","青森県","1995000000","1995年","千人","1482"
"001","人口","000","男女計","001","総人口","02000","青森県","2000000000","2000年","千人","1476"
"001","人口","000","男女計","001","総人口","02000","青森県","2005000000","2005年","千人","1437"
"001","人口","000","男女計","001","総人口","02000","青森県","2006000000","2006年","千人","1423"
"001","人口","000","男女計","001","総人口","02000","青森県","2007000000","2007年","千人","1407"
"001","人口","000","男女計","001","総人口","02000","青森県","2008000000","2008年","千人","1392"
"001","人口","000","男女計","001","総人口","02000","青森県","2009000000","2009年","千人","1379"
"001","人口","000","男女計","001","総人口","03000","岩手県","1990000000","1990年","千人","1417"
"001","人口","000","男女計","001","総人口","03000","岩手県","1995000000","1995年","千人","1420"
"001","人口","000","男女計","001","総人口","03000","岩手県","2000000000","2000年","千人","1416"
"001","人口","000","男女計","001","総人口","03000","岩手県","2005000000","2005年","千人","1385"
"001","人口","000","男女計","001","総人口","03000","岩手県","2006000000","2006年","千人","1375"
"001","人口","000","男女計","001","総人口","03000","岩手県","2007000000","2007年","千人","1364"
"001","人口","000","男女計","001","総人口","03000","岩手県","2008000000","2008年","千人","1352"
"001","人口","000","男女計","001","総人口","03000","岩手県","2009000000","2009年","千人","1340"
"001","人口","000","男女計","001","総人口","04000","宮城県","1990000000","1990年","千人","2249"
"001","人口","000","男女計","001","総人口","04000","宮城県","1995000000","1995年","千人","2329"
"001","人口","000","男女計","001","総人口","04000","宮城県","2000000000","2000年","千人","2365"
"001","人口","000","男女計","001","総人口","04000","宮城県","2005000000","2005年","千人","2360"
"001","人口","000","男女計","001","総人口","04000","宮城県","2006000000","2006年","千人","2355"
"001","人口","000","男女計","001","総人口","04000","宮城県","2007000000","2007年","千人","2347"
"001","人口","000","男女計","001","総人口","04000","宮城県","2008000000","2008年","千人","2340"
"001","人口","000","男女計","001","総人口","04000","宮城県","2009000000","2009年","千人","2336"
"001","人口","000","男女計","001","総人口","05000","秋田県","1990000000","1990年","千人","1227"
"001","人口","000","男女計","001","総人口","05000","秋田県","1995000000","1995年","千人","1214"
"001","人口","000","男女計","001","総人口","05000","秋田県","2000000000","2000年","千人","1189"
"001","人口","000","男女計","001","総人口","05000","秋田県","2005000000","2005年","千人","1146"
"001","人口","000","男女計","001","総人口","05000","秋田県","2006000000","2006年","千人","1134"
"001","人口","000","男女計","001","総人口","05000","秋田県","2007000000","2007年","千人","1121"
"001","人口","000","男女計","001","総人口","05000","秋田県","2008000000","2008年","千人","1108"
"001","人口","000","男女計","001","総人口","05000","秋田県","2009000000","2009年","千人","1096"
"001","人口","000","男女計","001","総人口","06000","山形県","1990000000","1990年","千人","1258"
"001","人口","000","男女計","001","総人口","06000","山形県","1995000000","1995年","千人","1257"
"001","人口","000","男女計","001","総人口","06000","山形県","2000000000","2000年","千人","1244"
"001","人口","000","男女計","001","総人口","06000","山形県","2005000000","2005年","千人","1216"
"001","人口","000","男女計","001","総人口","06000","山形県","2006000000","2006年","千人","1208"
"001","人口","000","男女計","001","総人口","06000","山形県","2007000000","2007年","千人","1198"
"001","人口","000","男女計","001","総人口","06000","山形県","2008000000","2008年","千人","1188"
"001","人口","000","男女計","001","総人口","06000","山形県","2009000000","2009年","千人","1179"
"001","人口","000","男女計","001","総人口","07000","福島県","1990000000","1990年","千人","2104"
"001","人口","000","男女計","001","総人口","07000","福島県","1995000000","1995年","千人","2134"
"001","人口","000","男女計","001","総人口","07000","福島県","2000000000","2000年","千人","2127"
"001","人口","000","男女計","001","総人口","07000","福島県","2005000000","2005年","千人","2091"
"001","人口","000","男女計","001","総人口","07000","福島県","2006000000","2006年","千人","2080"
"001","人口","000","男女計","001","総人口","07000","福島県","2007000000","2007年","千人","2067"
"001","人口","000","男女計","001","総人口","07000","福島県","2008000000","2008年","千人","2052"
"001","人口","000","男女計","001","総人口","07000","福島県","2009000000","2009年","千人","2040"
