"tab_code","表章項目","cat01_code","男女別","cat02_code","人口","area_code","全国・都道府県","time_code","時間軸（年）","unit","value"
"001","人口","000","男女計","001","総人口","00000","全国","1995000000","1995年","千人","125570"
"001","人口","000","男女計","001","総人口","00000","全国","2000000000","2000年","千人","126926"
"001","人口","000","男女計","001","総人口","00000","全国","2005000000","2005年","千人","127768"
"001","人口","000","男女計","001","総人口","00000","全国","2010000000","2010年","千人","128057"
"001","人口","000","男女計","001","総人口","00000","全国","2011000000","2011年","千人","127799"
"001","人口","000","男女計","001","総人口","00000","全国","2012000000","2012年","千人","127515"
"001","人口","000","男女計","001","総人口","00000","全国","2013000000","2013年","千人","127298"
"001","人口","000","男女計","001","総人口","00000","全国","2014000000","2014年","千人","127083"
"001","人口","000","男女計","001","総人口","01000","北海道","1995000000","1995年","千人","5692"
"001","人口","000","男女計","001","総人口","01000","北海道","2000000000","2000年","千人","5683"
"001","人口","000","男女計","001","総人口","01000","北海道","2005000000","2005年","千人","5628"
"001","人口","000","男女計","001","総人口","01000","北海道","2010000000","2010年","千人","5506"
"001","人口","000","男女計","001","総人口","01000","北海道","2011000000","2011年","千人","5486"
"001","人口","000","男女計","001","総人口","01000","北海道","2012000000","2012年","千人","5460"
"001","人口","000","男女計","001","総人口","01000","北海道","2013000000","2013年","千人","5431"
"001","人口","000","男女計","001","総人口","01000","北海道","2014000000","2014年","千人","5400"
"001","人口","000","男女計","001","総人口","02000","青森県","1995000000","1995年","千人","1482"
"001","人口","000","男女計","001","総人口","02000","青森県","2000000000","2000年","千人","1476"
"001","人口","000","男女計","001","総人口","02000","青森県","2005000000","2005年","千人","1437"
"001","人口","000","男女計","001","総人口","02000","青森県","2010000000","2010年","千人","1373"
"001","人口","000","男女計","001","総人口","02000","青森県","2011000000","2011年","千人","1363"
"001","人口","000","男女計","001","総人口","02000","青森県","2012000000","2012年","千人","1350"
"001","人口","000","男女計","001","総人口","02000","青森県","2013000000","2013年","千人","1335"
"001","人口","000","男女計","001","総人口","02000","青森県","2014000000","2014年","千人","1321"
"001","人口","000","男女計","001","総人口","03000","岩手県","1995000000","1995年","千人","1420"
"001","人口","000","男女計","001","総人口","03000","岩手県","2000000000","2000年","千人","1416"
"001","人口","000","男女計","001","総人口","03000","岩手県","2005000000","2005年","千人","1385"
