"tab_code","表章項目","cat01_code","確定値","cat02_code","男女別","cat03_code","年齢5歳階級","cat04_code","人口","area_code","全国","time_code","時間軸（年月日現在）","unit","value"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2024001212","2024年12月","千人","123744"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000101","2025年1月","千人","123552"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000202","2025年2月","千人","123441"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000303","2025年3月","千人","123420"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000404","2025年4月","千人","123397"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000505","2025年5月","千人","123342"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000606","2025年6月","千人","123371"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000707","2025年7月","千人","123367"
"001","人口","01","確定値","000","男女計","01000","総数","001","総人口","00000","全国","2025000808","2025年8月","千人","123268"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2020001010","2020年10月","千人","123399"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2020001111","2020年11月","千人","123353"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2020001212","2020年12月","千人","123304"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000101","2021年1月","千人","123261"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000202","2021年2月","千人","123160"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000303","2021年3月","千人","123097"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000404","2021年4月","千人","123050"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000505","2021年5月","千人","122998"
