都道府県,国籍,時点,人口
福井県,韓国,2024/06,1783
山梨県,韓国,2024/06,1641
長野県,韓国,2024/06,3069
岐阜県,韓国,2024/06,3154
静岡県,韓国,2024/06,4244
愛知県,韓国,2024/06,26289
三重県,韓国,2024/06,3735
滋賀県,韓国,2024/06,3699
京都府,韓国,2024/06,20811
大阪府,韓国,2024/06,87808
兵庫県,韓国,2024/06,34827
奈良県,韓国,2024/06,3046
和歌山県,韓国,2024/06,1766
鳥取県,韓国,2024/06,792
島根県,韓国,2024/06,536
岡山県,韓国,2024/06,4170
広島県,韓国,2024/06,6450
山口県,韓国,2024/06,4363
徳島県,韓国,2024/06,293
香川県,韓国,2024/06,777
愛媛県,韓国,2024/06,1047
高知県,韓国,2024/06,429
福岡県,韓国,2024/06,14493
佐賀県,韓国,2024/06,574
長崎県,韓国,2024/06,1062
熊本県,韓国,2024/06,1047
大分県,韓国,2024/06,1636
宮崎県,韓国,2024/06,489
鹿児島県,韓国,2024/06,494
沖縄県,韓国,2024/06,1484
未定・不詳,韓国,2024/06,500
総数,フィリピン,2024/06,332293
北海道,フィリピン,2024/06,3342
青森県,フィリピン,2024/06,911
岩手県,フィリピン,2024/06,1548
宮城県,フィリピン,2024/06,1747
秋田県,フィリピン,2024/06,979
山形県,フィリピン,2024/06,1040
福島県,フィリピン,2024/06,3014
茨城県,フィリピン,2024/06,11631
栃木県,フィリピン,2024/06,5511
群馬県,フィリピン,2024/06,9395
埼玉県,フィリピン,2024/06,24658
千葉県,フィリピン,2024/06,22500
東京都,フィリピン,2024/06,36948
神奈川県,フィリピン,2024/06,26826
新潟県,フィリピン,2024/06,3174
富山県,フィリピン,2024/06,2852
石川県,フィリピン,2024/06,1594
福井県,フィリピン,2024/06,2221
山梨県,フィリピン,2024/06,2386
長野県,フィリピン,2024/06,5488
岐阜県,フィリピン,2024/06,15908
静岡県,フィリピン,2024/06,20251
愛知県,フィリピン,2024/06,45852
三重県,フィリピン,2024/06,8553
滋賀県,フィリピン,2024/06,3277
京都府,フィリピン,2024/06,3119
大阪府,フィリピン,2024/06,11835
兵庫県,フィリピン,2024/06,6515
奈良県,フィリピン,2024/06,1053
和歌山県,フィリピン,2024/06,945
鳥取県,フィリピン,2024/06,730
島根県,フィリピン,2024/06,1111
岡山県,フィリピン,2024/06,2530
広島県,フィリピン,2024/06,10194
山口県,フィリピン,2024/06,2112
徳島県,フィリピン,2024/06,941
香川県,フィリピン,2024/06,2750
愛媛県,フィリピン,2024/06,3780
高知県,フィリピン,2024/06,898
福岡県,フィリピン,2024/06,6891
佐賀県,フィリピン,2024/06,897
長崎県,フィリピン,2024/06,1650
熊本県,フィリピン,2024/06,3952
大分県,フィリピン,2024/06,1999
宮崎県,フィリピン,2024/06,1019
鹿児島県,フィリピン,2024/06,2548
沖縄県,フィリピン,2024/06,2673
未定・不詳,フィリピン,2024/06,545
総数,ブラジル,2024/06,212325
北海道,ブラジル,2024/06,181
青森県,ブラジル,2024/06,35
岩手県,ブラジル,2024/06,107
宮城県,ブラジル,2024/06,159
秋田県,ブラジル,2024/06,12
山形県,ブラジル,2024/06,88
福島県,ブラジル,2024/06,215
茨城県,ブラジル,2024/06,6068
栃木県,ブラジル,2024/06,3996
群馬県,ブラジル,2024/06,13829
埼玉県,ブラジル,2024/06,7415
千葉県,ブラジル,2024/06,3617
東京都,ブラジル,2024/06,4391
神奈川県,ブラジル,2024/06,9474
新潟県,ブラジル,2024/06,305
富山県,ブラジル,2024/06,2541
石川県,ブラジル,2024/06,1716
福井県,ブラジル,2024/06,4780
山梨県,ブラジル,2024/06,2782
長野県,ブラジル,2024/06,4858
岐阜県,ブラジル,2024/06,12302
静岡県,ブラジル,2024/06,32526
愛知県,ブラジル,2024/06,61305
三重県,ブラジル,2024/06,13967
滋賀県,ブラジル,2024/06,9618
京都府,ブラジル,2024/06,603
大阪府,ブラジル,2024/06,2776
兵庫県,ブラジル,2024/06,2409
奈良県,ブラジル,2024/06,329
和歌山県,ブラジル,2024/06,113
鳥取県,ブラジル,2024/06,35
島根県,ブラジル,2024/06,3838
岡山県,ブラジル,2024/06,938
広島県,ブラジル,2024/06,2319
山口県,ブラジル,2024/06,309
徳島県,ブラジル,2024/06,40
香川県,ブラジル,2024/06,180
愛媛県,ブラジル,2024/06,244
高知県,ブラジル,2024/06,24
福岡県,ブラジル,2024/06,414
佐賀県,ブラジル,2024/06,33
長崎県,ブラジル,2024/06,64
熊本県,ブラジル,2024/06,78
大分県,ブラジル,2024/06,82
宮崎県,ブラジル,2024/06,57
鹿児島県,ブラジル,2024/06,114
沖縄県,ブラジル,2024/06,921
未定・不詳,ブラジル,2024/06,118
総数,ネパール,2024/06,206898
北海道,ネパール,2024/06,2453
青森県,ネパール,2024/06,224
岩手県,ネパール,2024/06,308
宮城県,ネパール,2024/06,3099
秋田県,ネパール,2024/06,139
山形県,ネパール,2024/06,229
福島県,ネパール,2024/06,1175
茨城県,ネパール,2024/06,3425
栃木県,ネパール,2024/06,3414
群馬県,ネパール,2024/06,5587
埼玉県,ネパール,2024/06,14066
千葉県,ネパール,2024/06,16999
東京都,ネパール,2024/06,43148
神奈川県,ネパール,2024/06,13631
新潟県,ネパール,2024/06,972
富山県,ネパール,2024/06,403
石川県,ネパール,2024/06,650
福井県,ネパール,2024/06,403
山梨県,ネパール,2024/06,954
長野県,ネパール,2024/06,1393
岐阜県,ネパール,2024/06,2437
静岡県,ネパール,2024/06,5502
愛知県,ネパール,2024/06,16750
三重県,ネパール,2024/06,2723
滋賀県,ネパール,2024/06,694
京都府,ネパール,2024/06,4667
大阪府,ネパール,2024/06,17398
兵庫県,ネパール,2024/06,7963
奈良県,ネパール,2024/06,891
和歌山県,ネパール,2024/06,439
鳥取県,ネパール,2024/06,205
島根県,ネパール,2024/06,273
岡山県,ネパール,2024/06,1399
広島県,ネパール,2024/06,2427
山口県,ネパール,2024/06,961
徳島県,ネパール,2024/06,272
香川県,ネパール,2024/06,523
愛媛県,ネパール,2024/06,484
高知県,ネパール,2024/06,143
福岡県,ネパール,2024/06,16191
佐賀県,ネパール,2024/06,1207
長崎県,ネパール,2024/06,1426
熊本県,ネパール,2024/06,1602
大分県,ネパール,2024/06,1115
宮崎県,ネパール,2024/06,460
鹿児島県,ネパール,2024/06,732
沖縄県,ネパール,2024/06,4873
未定・不詳,ネパール,2024/06,469
総数,インドネシア,2024/06,173813
北海道,インドネシア,2024/06,7676
青森県,インドネシア,2024/06,837
岩手県,インドネシア,2024/06,1234
宮城県,インドネシア,2024/06,2419
秋田県,インドネシア,2024/06,427
山形県,インドネシア,2024/06,513
福島県,インドネシア,2024/06,1452
茨城県,インドネシア,2024/06,9348
栃木県,インドネシア,2024/06,3438
群馬県,インドネシア,2024/06,5741
埼玉県,インドネシア,2024/06,9150
千葉県,インドネシア,2024/06,8798
東京都,インドネシア,2024/06,11215
神奈川県,インドネシア,2024/06,9322
新潟県,インドネシア,2024/06,1671
富山県,インドネシア,2024/06,2160
石川県,インドネシア,2024/06,1819
福井県,インドネシア,2024/06,1131
山梨県,インドネシア,2024/06,829
長野県,インドネシア,2024/06,3911
岐阜県,インドネシア,2024/06,3712
静岡県,インドネシア,2024/06,6579
愛知県,インドネシア,2024/06,14112
三重県,インドネシア,2024/06,3865
滋賀県,インドネシア,2024/06,2519
京都府,インドネシア,2024/06,2704
大阪府,インドネシア,2024/06,10063
兵庫県,インドネシア,2024/06,4602
奈良県,インドネシア,2024/06,996
和歌山県,インドネシア,2024/06,629
鳥取県,インドネシア,2024/06,443
島根県,インドネシア,2024/06,537
岡山県,インドネシア,2024/06,3242
広島県,インドネシア,2024/06,5133
山口県,インドネシア,2024/06,1972
徳島県,インドネシア,2024/06,976
香川県,インドネシア,2024/06,3004
愛媛県,インドネシア,2024/06,1610
高知県,インドネシア,2024/06,972
福岡県,インドネシア,2024/06,5416
佐賀県,インドネシア,2024/06,1602
長崎県,インドネシア,2024/06,1512
熊本県,インドネシア,2024/06,3062
大分県,インドネシア,2024/06,2370
宮崎県,インドネシア,2024/06,2204
鹿児島県,インドネシア,2024/06,3062
沖縄県,インドネシア,2024/06,2738
未定・不詳,インドネシア,2024/06,1086
総数,ミャンマー,2024/06,110306
北海道,ミャンマー,2024/06,3952
青森県,ミャンマー,2024/06,413
岩手県,ミャンマー,2024/06,669
宮城県,ミャンマー,2024/06,1477
秋田県,ミャンマー,2024/06,220
山形県,ミャンマー,2024/06,443
福島県,ミャンマー,2024/06,926
茨城県,ミャンマー,2024/06,2313
栃木県,ミャンマー,2024/06,1443
群馬県,ミャンマー,2024/06,2943
埼玉県,ミャンマー,2024/06,6592
千葉県,ミャンマー,2024/06,5237
東京都,ミャンマー,2024/06,24800
神奈川県,ミャンマー,2024/06,4946
新潟県,ミャンマー,2024/06,829
富山県,ミャンマー,2024/06,609
石川県,ミャンマー,2024/06,931
福井県,ミャンマー,2024/06,737
山梨県,ミャンマー,2024/06,598
長野県,ミャンマー,2024/06,1022
岐阜県,ミャンマー,2024/06,2146
静岡県,ミャンマー,2024/06,3842
愛知県,ミャンマー,2024/06,5887
三重県,ミャンマー,2024/06,1508
滋賀県,ミャンマー,2024/06,893
京都府,ミャンマー,2024/06,1828
大阪府,ミャンマー,2024/06,7446
兵庫県,ミャンマー,2024/06,4162
奈良県,ミャンマー,2024/06,1075
和歌山県,ミャンマー,2024/06,397
鳥取県,ミャンマー,2024/06,338
島根県,ミャンマー,2024/06,364
岡山県,ミャンマー,2024/06,1520
広島県,ミャンマー,2024/06,1547
山口県,ミャンマー,2024/06,988
徳島県,ミャンマー,2024/06,408
香川県,ミャンマー,2024/06,1021
愛媛県,ミャンマー,2024/06,1078
高知県,ミャンマー,2024/06,315
