都道府県,在留資格,時点,人口
佐賀県,その他,2025/06,596.0
長崎県,その他,2025/06,859.0
熊本県,その他,2025/06,1733.0
大分県,その他,2025/06,733.0
宮崎県,その他,2025/06,419.0
鹿児島県,その他,2025/06,547.0
沖縄県,その他,2025/06,2091.0
未定・不詳,その他,2025/06,1109.0
,その他,2025/06,
,その他,2025/06,
,その他,2025/06,
,その他,2025/06,
※　以下の表について同じです。,その他,2025/06,
総数,特別永住者,2025/06,270292.0
北海道,特別永住者,2025/06,2684.0
青森県,特別永住者,2025/06,467.0
岩手県,特別永住者,2025/06,464.0
宮城県,特別永住者,2025/06,1546.0
秋田県,特別永住者,2025/06,295.0
山形県,特別永住者,2025/06,214.0
福島県,特別永住者,2025/06,787.0
茨城県,特別永住者,2025/06,1945.0
栃木県,特別永住者,2025/06,1229.0
群馬県,特別永住者,2025/06,1289.0
埼玉県,特別永住者,2025/06,7937.0
千葉県,特別永住者,2025/06,6707.0
東京都,特別永住者,2025/06,38028.0
神奈川県,特別永住者,2025/06,15156.0
新潟県,特別永住者,2025/06,854.0
富山県,特別永住者,2025/06,599.0
石川県,特別永住者,2025/06,985.0
福井県,特別永住者,2025/06,1514.0
山梨県,特別永住者,2025/06,421.0
長野県,特別永住者,2025/06,1786.0
岐阜県,特別永住者,2025/06,2953.0
静岡県,特別永住者,2025/06,2659.0
愛知県,特別永住者,2025/06,21200.0
三重県,特別永住者,2025/06,3237.0
滋賀県,特別永住者,2025/06,3180.0
京都府,特別永住者,2025/06,18011.0
大阪府,特別永住者,2025/06,68451.0
兵庫県,特別永住者,2025/06,31991.0
奈良県,特別永住者,2025/06,2519.0
和歌山県,特別永住者,2025/06,1448.0
鳥取県,特別永住者,2025/06,726.0
島根県,特別永住者,2025/06,432.0
岡山県,特別永住者,2025/06,3674.0
広島県,特別永住者,2025/06,5731.0
山口県,特別永住者,2025/06,4193.0
徳島県,特別永住者,2025/06,169.0
香川県,特別永住者,2025/06,551.0
愛媛県,特別永住者,2025/06,765.0
高知県,特別永住者,2025/06,343.0
福岡県,特別永住者,2025/06,10018.0
佐賀県,特別永住者,2025/06,385.0
長崎県,特別永住者,2025/06,494.0
熊本県,特別永住者,2025/06,428.0
大分県,特別永住者,2025/06,940.0
宮崎県,特別永住者,2025/06,267.0
鹿児島県,特別永住者,2025/06,192.0
沖縄県,特別永住者,2025/06,411.0
未定・不詳,特別永住者,2025/06,17.0
,特別永住者,2025/06,
,特別永住者,2025/06,
,特別永住者,2025/06,
,特別永住者,2025/06,
※　以下の表について同じです。,特別永住者,2025/06,
